Data As Of,Totals By,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,164,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,298,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,36,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,51,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,280,11,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,0,470,15,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,0,494,16,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,11,583,29,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,23,713,42,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,40,927,54,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,76,1302,98,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,232,3488,307,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,179,2726,239,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,234,3770,379,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,224,4382,369,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,218,4813,399,0
2023-09-27,By Month,Texas,Male,All Ages,592,10053,896,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,100,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,189,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,24,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,37,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,211,0,0
2023-09-27,By Month,Texas,Male,18-29 years,0,356,12,0
2023-09-27,By Month,Texas,Male,25-34 years,0,357,13,0
2023-09-27,By Month,Texas,Male,30-39 years,0,410,20,0
2023-09-27,By Month,Texas,Male,35-44 years,14,485,29,0
2023-09-27,By Month,Texas,Male,40-49 years,27,592,37,0
2023-09-27,By Month,Texas,Male,45-54 years,59,834,73,0
2023-09-27,By Month,Texas,Male,50-64 years,164,2212,195,0
2023-09-27,By Month,Texas,Male,55-64 years,122,1711,142,0
2023-09-27,By Month,Texas,Male,65-74 years,154,2140,231,0
2023-09-27,By Month,Texas,Male,75-84 years,131,2265,214,0
2023-09-27,By Month,Texas,Male,85 years and over,102,1889,183,0
2023-09-27,By Month,Texas,Female,All Ages,372,8678,664,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,64,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,109,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,12,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,14,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,69,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,114,0,0
2023-09-27,By Month,Texas,Female,25-34 years,0,137,0,0
2023-09-27,By Month,Texas,Female,30-39 years,0,173,0,0
2023-09-27,By Month,Texas,Female,35-44 years,0,228,13,0
2023-09-27,By Month,Texas,Female,40-49 years,13,335,17,0
2023-09-27,By Month,Texas,Female,45-54 years,17,468,25,0
2023-09-27,By Month,Texas,Female,50-64 years,68,1276,112,0
2023-09-27,By Month,Texas,Female,55-64 years,57,1015,97,0
2023-09-27,By Month,Texas,Female,65-74 years,80,1630,148,0
2023-09-27,By Month,Texas,Female,75-84 years,93,2117,155,0
2023-09-27,By Month,Texas,Female,85 years and over,116,2924,216,0
2023-09-27,By Month,Texas,All Sexes,All Ages,1436,19173,1629,0
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,191,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,344,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,37,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,53,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,330,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,18,493,12,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,34,503,19,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,40,631,31,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,58,769,47,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,114,988,80,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,148,1379,127,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,332,3586,306,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,258,2780,232,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,344,3818,403,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,324,4523,453,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,262,4790,341,0
2023-09-27,By Month,Texas,Male,All Ages,894,10442,939,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,97,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,186,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,18,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,25,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,250,0,0
2023-09-27,By Month,Texas,Male,18-29 years,10,364,0,0
2023-09-27,By Month,Texas,Male,25-34 years,24,360,14,0
2023-09-27,By Month,Texas,Male,30-39 years,30,426,20,0
2023-09-27,By Month,Texas,Male,35-44 years,41,496,29,0
2023-09-27,By Month,Texas,Male,40-49 years,80,643,49,0
2023-09-27,By Month,Texas,Male,45-54 years,106,896,74,0
2023-09-27,By Month,Texas,Male,50-64 years,237,2266,194,0
2023-09-27,By Month,Texas,Male,55-64 years,183,1743,151,0
2023-09-27,By Month,Texas,Male,65-74 years,221,2204,247,0
2023-09-27,By Month,Texas,Male,75-84 years,202,2417,261,0
2023-09-27,By Month,Texas,Male,85 years and over,113,1936,157,0
2023-09-27,By Month,Texas,Female,All Ages,542,8731,690,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,94,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,158,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,19,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,28,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,80,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,129,0,0
2023-09-27,By Month,Texas,Female,25-34 years,10,143,0,0
2023-09-27,By Month,Texas,Female,30-39 years,10,205,11,0
2023-09-27,By Month,Texas,Female,35-44 years,17,273,18,0
2023-09-27,By Month,Texas,Female,40-49 years,34,345,31,0
2023-09-27,By Month,Texas,Female,45-54 years,42,483,53,0
2023-09-27,By Month,Texas,Female,50-64 years,95,1320,112,0
2023-09-27,By Month,Texas,Female,55-64 years,75,1037,81,0
2023-09-27,By Month,Texas,Female,65-74 years,123,1614,156,0
2023-09-27,By Month,Texas,Female,75-84 years,122,2106,192,0
2023-09-27,By Month,Texas,Female,85 years and over,149,2854,184,0
2023-09-27,By Month,Texas,All Sexes,All Ages,6971,26487,4703,11
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,159,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,13,317,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,37,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,53,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,23,330,11,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,64,551,40,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,99,634,66,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,141,809,89,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,238,972,140,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,375,1321,216,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,582,1897,350,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,1525,5022,987,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,1168,3938,766,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,1726,5795,1201,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,1685,6267,1190,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,1442,6405,974,0
2023-09-27,By Month,Texas,Male,All Ages,4138,14659,2725,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,87,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,191,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,20,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,36,0,0
2023-09-27,By Month,Texas,Male,15-24 years,13,239,0,0
2023-09-27,By Month,Texas,Male,18-29 years,41,391,28,0
2023-09-27,By Month,Texas,Male,25-34 years,69,446,47,0
2023-09-27,By Month,Texas,Male,30-39 years,100,553,60,0
2023-09-27,By Month,Texas,Male,35-44 years,162,641,88,0
2023-09-27,By Month,Texas,Male,40-49 years,257,884,133,0
2023-09-27,By Month,Texas,Male,45-54 years,388,1240,214,0
2023-09-27,By Month,Texas,Male,50-64 years,984,3196,600,0
2023-09-27,By Month,Texas,Male,55-64 years,752,2506,464,0
2023-09-27,By Month,Texas,Male,65-74 years,1060,3456,735,0
2023-09-27,By Month,Texas,Male,75-84 years,1018,3389,693,0
2023-09-27,By Month,Texas,Male,85 years and over,669,2599,474,0
2023-09-27,By Month,Texas,Female,All Ages,2833,11828,1978,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,72,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,126,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,17,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,17,0,0
2023-09-27,By Month,Texas,Female,15-24 years,10,91,0,0
2023-09-27,By Month,Texas,Female,18-29 years,23,160,12,0
2023-09-27,By Month,Texas,Female,25-34 years,30,188,19,0
2023-09-27,By Month,Texas,Female,30-39 years,41,256,29,0
2023-09-27,By Month,Texas,Female,35-44 years,76,331,52,0
2023-09-27,By Month,Texas,Female,40-49 years,118,437,83,0
2023-09-27,By Month,Texas,Female,45-54 years,194,657,136,0
2023-09-27,By Month,Texas,Female,50-64 years,541,1826,387,0
2023-09-27,By Month,Texas,Female,55-64 years,416,1432,302,0
2023-09-27,By Month,Texas,Female,65-74 years,666,2339,466,0
2023-09-27,By Month,Texas,Female,75-84 years,667,2878,497,0
2023-09-27,By Month,Texas,Female,85 years and over,773,3806,500,0
2023-09-27,By Month,Texas,All Sexes,All Ages,5147,23894,3829,0
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,186,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,337,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,39,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,50,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,10,310,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,23,512,18,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,40,586,43,0
2023-09-27,By Month,Texas,All Sexes,30-39 years,68,707,66,0
2023-09-27,By Month,Texas,All Sexes,35-44 years,153,889,103,0
2023-09-27,By Month,Texas,All Sexes,40-49 years,291,1209,175,0
2023-09-27,By Month,Texas,All Sexes,45-54 years,444,1712,291,0
2023-09-27,By Month,Texas,All Sexes,50-64 years,1141,4560,847,0
2023-09-27,By Month,Texas,All Sexes,55-64 years,877,3553,664,0
2023-09-27,By Month,Texas,All Sexes,65-74 years,1278,5144,982,0
2023-09-27,By Month,Texas,All Sexes,75-84 years,1280,5744,989,0
2023-09-27,By Month,Texas,All Sexes,85 years and over,1062,5681,745,0
2023-09-27,By Month,Texas,Male,All Ages,2903,12850,2168,0
2023-09-27,By Month,Texas,Male,Under 1 year,0,89,0,0
2023-09-27,By Month,Texas,Male,0-17 years,0,179,0,0
2023-09-27,By Month,Texas,Male,1-4 years,0,21,0,0
2023-09-27,By Month,Texas,Male,5-14 years,0,22,0,0
2023-09-27,By Month,Texas,Male,15-24 years,0,225,0,0
2023-09-27,By Month,Texas,Male,18-29 years,17,375,17,0
2023-09-27,By Month,Texas,Male,25-34 years,28,421,33,0
2023-09-27,By Month,Texas,Male,30-39 years,48,486,41,0
2023-09-27,By Month,Texas,Male,35-44 years,100,597,58,0
2023-09-27,By Month,Texas,Male,40-49 years,198,768,111,0
2023-09-27,By Month,Texas,Male,45-54 years,291,1079,178,0
2023-09-27,By Month,Texas,Male,50-64 years,705,2822,506,0
2023-09-27,By Month,Texas,Male,55-64 years,543,2176,401,0
2023-09-27,By Month,Texas,Male,65-74 years,755,3005,585,0
2023-09-27,By Month,Texas,Male,75-84 years,723,3028,565,0
2023-09-27,By Month,Texas,Male,85 years and over,456,2187,339,0
2023-09-27,By Month,Texas,Female,All Ages,2244,11044,1661,0
2023-09-27,By Month,Texas,Female,Under 1 year,0,97,0,0
2023-09-27,By Month,Texas,Female,0-17 years,0,158,0,0
2023-09-27,By Month,Texas,Female,1-4 years,0,18,0,0
2023-09-27,By Month,Texas,Female,5-14 years,0,28,0,0
2023-09-27,By Month,Texas,Female,15-24 years,0,85,0,0
2023-09-27,By Month,Texas,Female,18-29 years,0,137,0,0
2023-09-27,By Month,Texas,Female,25-34 years,12,165,10,0
2023-09-27,By Month,Texas,Female,30-39 years,20,221,25,0
2023-09-27,By Month,Texas,Female,35-44 years,53,292,45,0
2023-09-27,By Month,Texas,Female,40-49 years,93,441,64,0
2023-09-27,By Month,Texas,Female,45-54 years,153,633,113,0
2023-09-27,By Month,Texas,Female,50-64 years,436,1738,341,0
2023-09-27,By Month,Texas,Female,55-64 years,334,1377,263,0
2023-09-27,By Month,Texas,Female,65-74 years,523,2139,397,0
2023-09-27,By Month,Texas,Female,75-84 years,557,2716,424,0
2023-09-27,By Month,Texas,Female,85 years and over,606,3494,406,0
2023-09-27,By Month,Texas,All Sexes,All Ages,2342,19891,2224,0
2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,166,0,0
2023-09-27,By Month,Texas,All Sexes,0-17 years,0,296,0,0
2023-09-27,By Month,Texas,All Sexes,1-4 years,0,31,0,0
2023-09-27,By Month,Texas,All Sexes,5-14 years,0,55,0,0
2023-09-27,By Month,Texas,All Sexes,15-24 years,0,266,0,0
2023-09-27,By Month,Texas,All Sexes,18-29 years,14,429,0,0
2023-09-27,By Month,Texas,All Sexes,25-34 years,26,450,13,0
